SKU,Category,Style,Size,Amount,Core,price_level
JNE3371-KR-XL,kurta,JNE3371,XL,329.0,KR,low
JNE3671-TU-XXXL,Top,JNE3671,3XL,574.0,TU,Medium
SET264-KR-NP-XL,Set,SET264,XL,824.0,KR-NP,Premium
J0095-SET-L,Set,J0095,L,653.0,SET,High
JNE3461-KR-XXL,kurta,JNE3461,XXL,363.0,KR,low
JNE3160-KR-G-S,kurta,JNE3160,S,685.0,KR-G,High
JNE3500-KR-XS,kurta,JNE3500,XS,364.0,KR,low
SET182-KR-DH-XS,Set,SET182,XS,657.0,KR-DH,High
JNE3721-KR-XXL,kurta,JNE3721,XXL,329.0,KR,low
JNE3405-KR-XL,kurta,JNE3405,XL,399.0,KR,low
SET254-KR-NP-XS,Set,SET254,XS,886.0,KR-NP,Premium
JNE3795-KR-XXXL,kurta,JNE3795,3XL,517.0,KR,Medium
SET345-KR-NP-M,Set,SET345,M,666.0,KR-NP,High
JNE3373-KR-L,kurta,JNE3373,L,376.0,KR,low
MEN5002-KR-L,kurta,MEN5002,L,499.0,KR,Medium
PJNE2199-KR-N-4XL,kurta,PJNE2199,4XL,459.0,KR-N,Medium
JNE3567-KR-M,kurta,JNE3567,M,399.0,KR,low
J0341-DR-S,Western Dress,J0341,S,791.0,DR,Premium
MEN5009-KR-XL,kurta,MEN5009,XL,499.0,KR,Medium
JNE3373-KR-XL,kurta,JNE3373,XL,376.0,KR,low
SET345-KR-NP-L,Set,SET345,L,666.0,KR-NP,High
JNE3787-KR-S,kurta,JNE3787,S,487.0,KR,Medium
JNE3543-KR-S,kurta,JNE3543,S,368.0,KR,low
JNE3405-KR-L,kurta,JNE3405,L,399.0,KR,low
J0211-DR-XXL,Ethnic Dress,J0211,XXL,699.0,DR,High
J0401-DR-XXXL,Western Dress,J0401,3XL,885.0,DR,Premium
SET360-KR-NP-M,Set,SET360,M,1126.0,KR-NP,Premium
SET268-KR-NP-L,Set,SET268,L,788.0,KR-NP,High
SET183-KR-DH-S,Set,SET183,S,759.0,KR-DH,High
J0230-SKD-L,Set,J0230,L,1146.0,SKD,Luxury
JNE3744-TU-S,Top,JNE3744,S,665.0,TU,High
JNE3510-KR-S,kurta,JNE3510,S,429.0,KR,low
J0186-SET-S,Set,J0186,S,848.0,SET,Premium
J0003-SET-M,Set,J0003,M,654.0,SET,High
SET282-KR-PP-M,Set,SET282,M,1033.0,KR-PP,Premium
JNE1407-BLACK-KR-UDF18-XL,kurta,JNE1407,XL,390.0,BLACK-KR-UDF18,low
J0301-TP-L,Top,J0301,L,493.0,TP,Medium
JNE3869-DR-S,Western Dress,JNE3869,S,721.0,DR,High
SET324-KR-NP-XS,Set,SET324,XS,597.0,KR-NP,Medium
JNE3405-KR-L,kurta,JNE3405,L,399.0,KR,low
SET279-LC-S,Set,SET279,S,888.0,LC,Premium
JNE2014-KR-178-XXL,kurta,JNE2014,XXL,353.0,KR-178,low
JNE2270-KR-487-A-M,kurta,JNE2270,M,518.0,KR-487-A,Medium
JNE3579-KR-M,kurta,JNE3579,M,295.0,KR,low
SET347-KR-NP-XS,Set,SET347,XS,852.0,KR-NP,Premium
SET264-KR-NP-M,Set,SET264,M,824.0,KR-NP,Premium
SET333-KR-DPT-XXL,Set,SET333,XXL,909.0,KR-DPT,Premium
JNE3645-TP-N-L,Top,JNE3645,L,432.0,TP-N,low
SET233-KR-PP-L,Set,SET233,L,545.0,KR-PP,Medium
J0381-SKD-XXXL,Set,J0381,3XL,1146.0,SKD,Luxury
JNE3718-KR-M,kurta,JNE3718,M,432.0,KR,low
JNE3745-KR-XXL,kurta,JNE3745,XXL,316.0,KR,low
JNE3721-KR-L,kurta,JNE3721,L,329.0,KR,low
JNE3405-KR-XXL,kurta,JNE3405,XXL,399.0,KR,low
SET295-KR-NP-XXXL,Set,SET295,3XL,751.0,KR-NP,High
JNE3861-DR-XL,Western Dress,JNE3861,XL,791.0,DR,Premium
SET288-KR-NP-XXXL,Set,SET288,3XL,684.0,KR-NP,High
SET394-KR-NP-XXXL,Set,SET394,3XL,1281.0,KR-NP,Luxury
SET397-KR-NP-XXXL,Set,SET397,3XL,1186.0,KR-NP,Luxury
MEN5002-KR-XXL,kurta,MEN5002,XXL,499.0,KR,Medium
J0343-DR-M,Western Dress,J0343,M,744.0,DR,High
J0341-DR-XL,Western Dress,J0341,XL,744.0,DR,High
JNE3560-KR-M,kurta,JNE3560,M,487.0,KR,Medium
J0333-DR-XXXL,Western Dress,J0333,3XL,825.0,DR,Premium
SET389-KR-NP-M,Set,SET389,M,680.0,KR-NP,High
SET098-KR-PP-M,Set,SET098,M,696.0,KR-PP,High
MEN5013-KR-L,kurta,MEN5013,L,499.0,KR,Medium
J0003-SET-L,Set,J0003,L,696.0,SET,High
JNE3718-KR-XXXL,kurta,JNE3718,3XL,406.0,KR,low
SET347-KR-NP-S,Set,SET347,S,852.0,KR-NP,Premium
JNE3405-KR-XXL,kurta,JNE3405,XXL,399.0,KR,low
JNE3391-KR-XXL,kurta,JNE3391,XXL,432.0,KR,low
SET268-KR-NP-L,Set,SET268,L,788.0,KR-NP,High
SET291-KR-PP-XL,Set,SET291,XL,599.0,KR-PP,Medium
SET293-KR-NP-M,Set,SET293,M,692.0,KR-NP,High
SET268-KR-NP-L,Set,SET268,L,788.0,KR-NP,High
JNE3334-KR-M,kurta,JNE3334,M,318.0,KR,low
SET331-KR-NP-XS,Set,SET331,XS,597.0,KR-NP,Medium
SET265-KR-NP-S,Set,SET265,S,888.0,KR-NP,Premium
JNE3718-KR-S,kurta,JNE3718,S,406.0,KR,low
SET397-KR-NP  -M,Set,SET397,M,1186.0,KR-NP  ,Luxury
JNE1525-KR-UDF19-A-S,kurta,JNE1525,S,311.0,KR-UDF19-A,low
JNE3654-TP-XL,Top,JNE3654,XL,387.0,TP,low
JNE3261-KR-S,kurta,JNE3261,S,348.0,KR,low
SET324-KR-NP-XXXL,Set,SET324,3XL,635.0,KR-NP,High
SET324-KR-NP-XS,Set,SET324,XS,597.0,KR-NP,Medium
SET280-KR-PP-S,Set,SET280,S,790.0,KR-PP,High
JNE3618-KR-XXL,kurta,JNE3618,XXL,375.0,KR,low
SET304-KR-DPT-XS,Set,SET304,XS,1115.0,KR-DPT,Premium
SET110-KR-PP-XXL,Set,SET110,XXL,788.0,KR-PP,High
SET324-KR-NP-M,Set,SET324,M,597.0,KR-NP,Medium
JNE3794-KR-M,kurta,JNE3794,M,517.0,KR,Medium
JNE3291-KR-XXL,kurta,JNE3291,XXL,442.0,KR,low
JNE3440-KR-N-XXXL,kurta,JNE3440,3XL,399.0,KR-N,low
JNE2270-KR-487-A-XXL,kurta,JNE2270,XXL,518.0,KR-487-A,Medium
JNE3261-KR-M,kurta,JNE3261,M,348.0,KR,low
SET324-KR-NP-M,Set,SET324,M,597.0,KR-NP,Medium
JNE3810-KR-S,kurta,JNE3810,S,696.0,KR,High
JNE3461-KR-XL,kurta,JNE3461,XL,363.0,KR,low
JNE3429-KR-XL,kurta,JNE3429,XL,299.0,KR,low
JNE3710-DR-S,Western Dress,JNE3710,S,690.0,DR,High
J0113-TP-XS,Top,J0113,XS,574.0,TP,Medium
J0248-KR-DPT-XL,Set,J0248,XL,999.0,KR-DPT,Premium
JNE3560-KR-XL,kurta,JNE3560,XL,487.0,KR,Medium
SET398-KR-PP-L,Set,SET398,L,1115.0,KR-PP,Premium
NW032-ST-CP-XXL,Set,NW032,XXL,517.0,ST-CP,Medium
SET361-KR-NP-S,Set,SET361,S,1126.0,KR-NP,Premium
JNE3797-KR-L,Western Dress,JNE3797,L,725.0,KR,High
JNE3870-DR-XXL,Western Dress,JNE3870,XXL,721.0,DR,High
SET345-KR-NP-XS,Set,SET345,XS,666.0,KR-NP,High
NW013-ST-SR-L,Set,NW013,L,496.0,ST-SR,Medium
PJNE2100-KR-N-6XL,kurta,PJNE2100,6XL,458.0,KR-N,Medium
SET398-KR-PP-XXXL,Set,SET398,3XL,1115.0,KR-PP,Premium
J0006-SET-M,Ethnic Dress,J0006,M,845.0,SET,Premium
JNE3437-KR-S,kurta,JNE3437,S,517.0,KR,Medium
JNE3465-KR-S,kurta,JNE3465,S,517.0,KR,Medium
J0373-KR-XXXL,kurta,J0373,3XL,599.0,KR,Medium
J0344-TP-XXXL,Top,J0344,3XL,487.0,TP,Medium
J0118-TP-XXL,Top,J0118,XXL,487.0,TP,Medium
SET200-KR-NP-A-XS,Set,SET200,XS,568.0,KR-NP-A,Medium
JNE1998-KR-311-XXL,kurta,JNE1998,XXL,295.0,KR-311,low
MEN5004-KR-XXXL,kurta,MEN5004,3XL,484.0,KR,Medium
SET345-KR-NP-XXL,Set,SET345,XXL,626.0,KR-NP,High
SET291-KR-PP-M,Set,SET291,M,563.0,KR-PP,Medium
J0334-TP-L,Top,J0334,L,512.0,TP,Medium
J0230-SKD-S,Set,J0230,S,1112.0,SKD,Premium
JNE1233-BLUE-KR-031-XXL,kurta,JNE1233,XXL,376.0,BLUE-KR-031,low
J0295-DR-M,Western Dress,J0295,M,859.0,DR,Premium
SET324-KR-NP-L,Set,SET324,L,597.0,KR-NP,Medium
JNE3371-KR-XL,kurta,JNE3371,XL,329.0,KR,low
J0308-DR-L,Western Dress,J0308,L,665.0,DR,High
NW030-TP-PJ-L,Set,NW030,L,582.0,TP-PJ,Medium
SET360-KR-NP-XL,Set,SET360,XL,1126.0,KR-NP,Premium
PJNE3373-KR-N-6XL,kurta,PJNE3373,6XL,534.0,KR-N,Medium
JNE3449-KR-XXL,kurta,JNE3449,XXL,319.0,KR,low
JNE3786-KR-S,kurta,JNE3786,S,368.0,KR,low
J0314-KR-M,kurta,J0314,M,795.0,KR,Premium
PJNE3068-KR-4XL,kurta,PJNE3068,4XL,692.0,KR,High
J0340-TP-M,Top,J0340,M,563.0,TP,Medium
JNE3687-TU-M,Top,JNE3687,M,545.0,TU,Medium
J0376-SKD-L,Set,J0376,L,999.0,SKD,Premium
J0003-SET-M,Set,J0003,M,654.0,SET,High
J0198-TP-S,Top,J0198,S,588.0,TP,Medium
JNE3795-KR-XXXL,kurta,JNE3795,3XL,517.0,KR,Medium
SET398-KR-PP-M,Set,SET398,M,1115.0,KR-PP,Premium
NW033-ST-CP-XXXL,Set,NW033,3XL,582.0,ST-CP,Medium
NW037-TP-SR-XXXL,Set,NW037,3XL,449.0,TP-SR,low
JNE3618-KR-M,kurta,JNE3618,M,375.0,KR,low
SET290-KR-DPT-M,Set,SET290,M,771.0,KR-DPT,High
JNE3405-KR-L,kurta,JNE3405,L,399.0,KR,low
J0003-SET-XXXL,Set,J0003,3XL,654.0,SET,High
JNE2153-KR-278-A-S,kurta,JNE2153,S,424.0,KR-278-A,low
JNE3645-TP-N-XS,Top,JNE3645,XS,432.0,TP-N,low
JNE3440-KR-N-L,kurta,JNE3440,L,399.0,KR-N,low
SET331-KR-NP-S,Set,SET331,S,597.0,KR-NP,Medium
J0301-TP-M,Top,J0301,M,463.0,TP,Medium
MEN5004-KR-XL,kurta,MEN5004,XL,484.0,KR,Medium
J0352-KR-S,kurta,J0352,S,635.0,KR,High
JNE3160-KR-G-XXL,kurta,JNE3160,XXL,685.0,KR-G,High
JNE3690-TU-XL,Top,JNE3690,XL,487.0,TU,Medium
SET375-KR-NP-XL,Set,SET375,XL,696.0,KR-NP,High
JNE3371-KR-M,kurta,JNE3371,M,329.0,KR,low
JNE3465-KR-S,kurta,JNE3465,S,517.0,KR,Medium
SET116-KR-NP-XL,Set,SET116,XL,591.0,KR-NP,Medium
JNE3781-KR-XXXL,kurta,JNE3781,3XL,406.0,KR,low
SET147-KR-NP-XL,Set,SET147,XL,684.0,KR-NP,High
SET397-KR-NP-XL,Set,SET397,XL,1115.0,KR-NP,Premium
JNE3291-KR-XL,kurta,JNE3291,XL,442.0,KR,low
SET291-KR-PP-L,Set,SET291,L,563.0,KR-PP,Medium
JNE3399-KR-L,kurta,JNE3399,L,435.0,KR,low
SET291-KR-PP-M,Set,SET291,M,563.0,KR-PP,Medium
JNE3440-KR-N-XS,kurta,JNE3440,XS,399.0,KR-N,low
SET363-KR-NP-XXL,Set,SET363,XXL,1338.0,KR-NP,Luxury
JNE3405-KR-XL,kurta,JNE3405,XL,399.0,KR,low
JNE3797-KR-M,Western Dress,JNE3797,M,725.0,KR,High
SET322-KR-SHA-XL,Set,SET322,XL,1099.0,KR-SHA,Premium
PJ0096-KR-N-5XL,kurta,PJ0096,5XL,696.0,KR-N,High
JNE3461-KR-M,kurta,JNE3461,M,363.0,KR,low
SET383-KR-NP-L,Set,SET383,L,631.0,KR-NP,High
J0002-SKD-XXXL,Set,J0002,3XL,1115.0,SKD,Premium
SET344-KR-NP-XXXL,Set,SET344,3XL,968.0,KR-NP,Premium
JNE3465-KR-XXL,kurta,JNE3465,XXL,486.0,KR,Medium
SET324-KR-NP-XXL,Set,SET324,XXL,597.0,KR-NP,Medium
SET324-KR-NP-L,Set,SET324,L,597.0,KR-NP,Medium
J0008-SKD-S,Set,J0008,S,1065.0,SKD,Premium
J0208-DR-S,Western Dress,J0208,S,721.0,DR,High
SET344-KR-NP-XL,Set,SET344,XL,968.0,KR-NP,Premium
NW001-TP-PJ-XXL,Set,NW001,XXL,563.0,TP-PJ,Medium
SET004-KR-SP-A-S,Set,SET004,S,682.0,KR-SP-A,High
JNE3405-KR-XL,kurta,JNE3405,XL,399.0,KR,low
SET345-KR-NP-M,Set,SET345,M,626.0,KR-NP,High
J0012-SKD-M,Set,J0012,M,1140.0,SKD,Luxury
JNE3465-KR-M,kurta,JNE3465,M,486.0,KR,Medium
SET374-KR-NP-XS,Set,SET374,XS,597.0,KR-NP,Medium
JNE3567-KR-XL,kurta,JNE3567,XL,399.0,KR,low
J0041-SET-M,Set,J0041,M,660.0,SET,High
JNE3611-KR-XL,kurta,JNE3611,XL,459.0,KR,Medium
SET384-KR-NP-XS,Set,SET384,XS,631.0,KR-NP,High
SET347-KR-NP-S,Set,SET347,S,852.0,KR-NP,Premium
JNE2014-KR-178-XL,kurta,JNE2014,XL,353.0,KR-178,low
JNE3635-KR-L,kurta,JNE3635,L,345.0,KR,low
JNE3721-KR-L,kurta,JNE3721,L,329.0,KR,low
J0118-TP-XXXL,Top,J0118,3XL,518.0,TP,Medium
JNE3654-TP-XS,Top,JNE3654,XS,387.0,TP,low
J0339-DR-L,Western Dress,J0339,L,744.0,DR,High
JNE3396-KR-XXXL,kurta,JNE3396,3XL,487.0,KR,Medium
J0340-TP-XS,Top,J0340,XS,563.0,TP,Medium
J0335-DR-S,Western Dress,J0335,S,859.0,DR,Premium
J0008-SKD-L,Set,J0008,L,1133.0,SKD,Premium
SET268-KR-NP-XS,Set,SET268,XS,788.0,KR-NP,High
J0280-SKD-S,Set,J0280,S,1463.0,SKD,Luxury
JNE3405-KR-L,kurta,JNE3405,L,399.0,KR,low
SET182-KR-DH-L,Set,SET182,L,657.0,KR-DH,High
SET128-KR-DH-M,Set,SET128,M,1133.0,KR-DH,Premium
JNE3567-KR-XXL,kurta,JNE3567,XXL,399.0,KR,low
JNE3568-KR-L,kurta,JNE3568,L,399.0,KR,low
JNE3405-KR-L,kurta,JNE3405,L,399.0,KR,low
JNE3639-TP-N-XXL,Top,JNE3639,XXL,487.0,TP-N,Medium
SET291-KR-PP-XXL,Set,SET291,XXL,563.0,KR-PP,Medium
JNE3613-KR-XXL,kurta,JNE3613,XXL,399.0,KR,low
JNE3741-KR-XXL,kurta,JNE3741,XXL,432.0,KR,low
JNE3405-KR-L,kurta,JNE3405,L,399.0,KR,low
SET293-KR-NP-S,Set,SET293,S,736.0,KR-NP,High
SET388-KR-NP-L,Set,SET388,L,1260.0,KR-NP,Luxury
JNE3405-KR-L,kurta,JNE3405,L,399.0,KR,low
J0008-SKD-XS,Set,J0008,XS,1133.0,SKD,Premium
SET197-KR-NP-L,Set,SET197,L,759.0,KR-NP,High
J0341-DR-XS,Western Dress,J0341,XS,744.0,DR,High
JNE3800-KR-M,Western Dress,JNE3800,M,771.0,KR,High
J0341-DR-XXXL,Western Dress,J0341,3XL,744.0,DR,High
JNE3373-KR-XXXL,kurta,JNE3373,3XL,376.0,KR,low
JNE3405-KR-XL,kurta,JNE3405,XL,399.0,KR,low
SET291-KR-PP-XL,Set,SET291,XL,599.0,KR-PP,Medium
J0331-KR-XXXL,kurta,J0331,3XL,782.0,KR,High
JNE3752-KR-XXXL,kurta,JNE3752,3XL,362.0,KR,low
SET369-KR-NP-XXL,Set,SET369,XXL,1173.0,KR-NP,Luxury
JNE3797-KR-M,Western Dress,JNE3797,M,725.0,KR,High
JNE3373-KR-XS,kurta,JNE3373,XS,376.0,KR,low
JNE3537-KR-M,kurta,JNE3537,M,379.0,KR,low
J0003-SET-XL,Set,J0003,XL,696.0,SET,High
SET324-KR-NP-M,Set,SET324,M,597.0,KR-NP,Medium
SET293-KR-NP-M,Set,SET293,M,692.0,KR-NP,High
SET436-KR-NP-XXXL,Set,SET436,3XL,1999.0,KR-NP,Luxury
SET264-KR-NP-XXL,Set,SET264,XXL,824.0,KR-NP,Premium
JNE3567-KR-XS,kurta,JNE3567,XS,399.0,KR,low
J0329-KR-XXXL,kurta,J0329,3XL,737.0,KR,High
JNE3568-KR-XL,kurta,JNE3568,XL,399.0,KR,low
JNE3543-KR-M,kurta,JNE3543,M,368.0,KR,low
JNE3405-KR-L,kurta,JNE3405,L,399.0,KR,low
JNE3365-KR-1052-A-S,kurta,JNE3365,S,376.0,KR-1052-A,low
MEN5001-KR-L,kurta,MEN5001,L,499.0,KR,Medium
J0098-TP-XS,Top,J0098,XS,426.0,TP,low
JNE3567-KR-XL,kurta,JNE3567,XL,399.0,KR,low
SET380-KR-NP-XXXL,Set,SET380,3XL,995.0,KR-NP,Premium
MEN5009-KR-M,kurta,MEN5009,M,499.0,KR,Medium
MEN5011-KR-M,kurta,MEN5011,M,499.0,KR,Medium
SET324-KR-NP-M,Set,SET324,M,597.0,KR-NP,Medium
MEN5032-KR-S,kurta,MEN5032,S,562.0,KR,Medium
PJ0096-KR-N-5XL,kurta,PJ0096,5XL,696.0,KR-N,High
SET268-KR-NP-L,Set,SET268,L,788.0,KR-NP,High
JNE3567-KR-M,kurta,JNE3567,M,399.0,KR,low
SET359-KR-NP-XXL,Set,SET359,XXL,1099.0,KR-NP,Premium
J0199-SET-XXXL,Set,J0199,3XL,476.0,SET,Medium
J0003-SET-XS,Set,J0003,XS,654.0,SET,High
J0308-DR-XL,Western Dress,J0308,XL,625.0,DR,High
PJNE3252-KR-N-6XL,kurta,PJNE3252,6XL,563.0,KR-N,Medium
SET356-KR-NP-XXXL,Set,SET356,3XL,1099.0,KR-NP,Premium
JNE2014-KR-178-XXXL,kurta,JNE2014,3XL,353.0,KR-178,low
SET291-KR-PP-M,Set,SET291,M,563.0,KR-PP,Medium
SET110-KR-PP-XXL,Set,SET110,XXL,788.0,KR-PP,High
J0003-SET-M,Set,J0003,M,654.0,SET,High
JNE3405-KR-XXXL,kurta,JNE3405,3XL,399.0,KR,low
J0003-SET-L,Set,J0003,L,696.0,SET,High
J0230-SKD-XXL,Set,J0230,XXL,1112.0,SKD,Premium
JNE3465-KR-XXXL,kurta,JNE3465,3XL,517.0,KR,Medium
SET265-KR-NP-M,Set,SET265,M,888.0,KR-NP,Premium
J0280-SKD-S,Set,J0280,S,1463.0,SKD,Luxury
JNE3405-KR-XXXL,kurta,JNE3405,3XL,399.0,KR,low
JNE3288-KR-M,kurta,JNE3288,M,442.0,KR,low
SET316-KR-DPT-M,Set,SET316,M,1149.0,KR-DPT,Luxury
J0006-SET-M,Ethnic Dress,J0006,M,845.0,SET,Premium
SET268-KR-NP-S,Set,SET268,S,788.0,KR-NP,High
SET268-KR-NP-S,Set,SET268,S,788.0,KR-NP,High
J0003-SET-M,Set,J0003,M,654.0,SET,High
JNE2270-KR-487-A-L,kurta,JNE2270,L,518.0,KR-487-A,Medium
SET345-KR-NP-XXL,Set,SET345,XXL,626.0,KR-NP,High
PJNE3373-KR-N-6XL,kurta,PJNE3373,6XL,534.0,KR-N,Medium
MEN5024-KR-M,kurta,MEN5024,M,475.0,KR,Medium
MEN5023-KR-XL,kurta,MEN5023,XL,549.0,KR,Medium
JNE2270-KR-487-A-L,kurta,JNE2270,L,518.0,KR-487-A,Medium
J0225-SKD-XXL,Set,J0225,XXL,1499.0,SKD,Luxury
JNE3461-KR-L,kurta,JNE3461,L,363.0,KR,low
JNE3618-KR-XS,kurta,JNE3618,XS,399.0,KR,low
PJNE3405-KR-N-5XL,kurta,PJNE3405,5XL,487.0,KR-N,Medium
JNE3690-TU-XL,Top,JNE3690,XL,487.0,TU,Medium
SET374-KR-NP-XS,Set,SET374,XS,597.0,KR-NP,Medium
J0003-SET-XXL,Set,J0003,XXL,654.0,SET,High
SET324-KR-NP-XXL,Set,SET324,XXL,597.0,KR-NP,Medium
JNE3368-KR-XXL,kurta,JNE3368,XXL,471.0,KR,Medium
J0341-DR-M,Western Dress,J0341,M,744.0,DR,High
JNE3568-KR-S,kurta,JNE3568,S,399.0,KR,low
SET319-KR-NP-S,Set,SET319,S,835.0,KR-NP,Premium
J0415-DR-L,Western Dress,J0415,L,899.0,DR,Premium
JNE3718-KR-XXL,kurta,JNE3718,XXL,406.0,KR,low
J0254-SKD-XS,Set,J0254,XS,789.0,SKD,High
SAR114,Saree,SAR114,Free,620.0,null,High
JNE3819-KR-L,kurta,JNE3819,L,499.0,KR,Medium
J0335-DR-L,Western Dress,J0335,L,807.0,DR,Premium
SET334-KR-NP-XXL,Set,SET334,XXL,666.0,KR-NP,High
JNE3470-KR-XS,kurta,JNE3470,XS,329.0,KR,low
JNE3567-KR-M,kurta,JNE3567,M,399.0,KR,low
JNE3787-KR-XXL,kurta,JNE3787,XXL,487.0,KR,Medium
SET282-KR-PP-XXL,Set,SET282,XXL,1033.0,KR-PP,Premium
JNE3691-TU-L,Top,JNE3691,L,625.0,TU,High
JNE3645-TP-N-L,Top,JNE3645,L,432.0,TP-N,low
SET398-KR-PP-M,Set,SET398,M,1115.0,KR-PP,Premium
JNE3634-KR-XL,kurta,JNE3634,XL,511.0,KR,Medium
SET291-KR-PP-XL,Set,SET291,XL,599.0,KR-PP,Medium
JNE3675-TU-L,Top,JNE3675,L,545.0,TU,Medium
JNE2199-KR-411-A-XXL,kurta,JNE2199,XXL,353.0,KR-411-A,low
SET184-KR-PP-XXL,Set,SET184,XXL,563.0,KR-PP,Medium
JNE3639-TP-N-XXL,Top,JNE3639,XXL,487.0,TP-N,Medium
JNE3468-KR-L,kurta,JNE3468,L,352.0,KR,low
JNE3373-KR-L,kurta,JNE3373,L,376.0,KR,low
J0008-SKD-XL,Set,J0008,XL,1133.0,SKD,Premium
SET288-KR-NP-XXL,Set,SET288,XXL,684.0,KR-NP,High
JNE3405-KR-XL,kurta,JNE3405,XL,399.0,KR,low
JNE3567-KR-XL,kurta,JNE3567,XL,399.0,KR,low
SET110-KR-PP-L,Set,SET110,L,788.0,KR-PP,High
J0003-SET-XS,Set,J0003,XS,654.0,SET,High
JNE3421-KR-N-M,kurta,JNE3421,M,399.0,KR-N,low
SET337-KR-NP-L,Set,SET337,L,874.0,KR-NP,Premium
JNE3567-KR-XXL,kurta,JNE3567,XXL,399.0,KR,low
J0338-DR-L,Western Dress,J0338,L,744.0,DR,High
MEN5009-KR-M,kurta,MEN5009,M,499.0,KR,Medium
JNE3364-KR-1051-A-L,kurta,JNE3364,L,376.0,KR-1051-A,low
JNE3465-KR-XXL,kurta,JNE3465,XXL,486.0,KR,Medium
JNE3568-KR-XXL,kurta,JNE3568,XXL,399.0,KR,low
JNE2153-KR-278-A-XL,kurta,JNE2153,XL,424.0,KR-278-A,low
JNE3865-TP-XXXL,Top,JNE3865,3XL,599.0,TP,Medium
SET324-KR-NP-L,Set,SET324,L,597.0,KR-NP,Medium
J0118-TP-XXL,Top,J0118,XXL,487.0,TP,Medium
JNE3704-KR-L,kurta,JNE3704,L,487.0,KR,Medium
J0378-SKD-XXL,Set,J0378,XXL,1099.0,SKD,Premium
J0003-SET-M,Set,J0003,M,654.0,SET,High
JNE3721-KR-XL,kurta,JNE3721,XL,329.0,KR,low
SET398-KR-PP-XXL,Set,SET398,XXL,1186.0,KR-PP,Luxury
J0157-DR-S,Western Dress,J0157,S,588.0,DR,Medium
JNE2265-KR-501-S,kurta,JNE2265,S,329.0,KR-501,low
JNE3401-KR-M,kurta,JNE3401,M,259.0,KR,low
JNE3787-KR-XXL,kurta,JNE3787,XXL,487.0,KR,Medium
SET345-KR-NP-XL,Set,SET345,XL,626.0,KR-NP,High
J0118-TP-XXXL,Top,J0118,3XL,518.0,TP,Medium
J0006-SET-L,Ethnic Dress,J0006,L,899.0,SET,Premium
J0335-DR-XL,Western Dress,J0335,XL,807.0,DR,Premium
SET228-KR-PP-A-XXXL,Set,SET228,3XL,653.0,KR-PP-A,High
J0012-SKD-M,Set,J0012,M,1140.0,SKD,Luxury
SET388-KR-NP-S,Set,SET388,S,1260.0,KR-NP,Luxury
SET333-KR-DPT-XL,Set,SET333,XL,909.0,KR-DPT,Premium
SET172-KR-PP-B-M,Set,SET172,M,968.0,KR-PP-B,Premium
SET268-KR-NP-XL,Set,SET268,XL,788.0,KR-NP,High
JNE3800-KR-M,Western Dress,JNE3800,M,771.0,KR,High
JNE3405-KR-XXXL,kurta,JNE3405,3XL,399.0,KR,low
SET319-KR-NP-XL,Set,SET319,XL,888.0,KR-NP,Premium
SET378-KR-NP-XS,Set,SET378,XS,1221.0,KR-NP,Luxury
JNE3405-KR-XL,kurta,JNE3405,XL,399.0,KR,low
SET233-KR-PP-L,Set,SET233,L,545.0,KR-PP,Medium
SET344-KR-NP-S,Set,SET344,S,968.0,KR-NP,Premium
MEN5002-KR-M,kurta,MEN5002,M,499.0,KR,Medium
JNE3405-KR-L,kurta,JNE3405,L,399.0,KR,low
JNE3405-KR-XL,kurta,JNE3405,XL,399.0,KR,low
J0230-SKD-L,Set,J0230,L,1112.0,SKD,Premium
SET363-KR-NP-XL,Set,SET363,XL,1338.0,KR-NP,Luxury
JNE3794-KR-XXXL,kurta,JNE3794,3XL,517.0,KR,Medium
JNE3721-KR-XL,kurta,JNE3721,XL,329.0,KR,low
JNE3797-KR-L,Western Dress,JNE3797,L,725.0,KR,High
JNE3461-KR-XXL,kurta,JNE3461,XXL,363.0,KR,low
SET345-KR-NP-L,Set,SET345,L,666.0,KR-NP,High
SET203-KR-DPT-S,Set,SET203,S,449.0,KR-DPT,low
SET098-KR-PP-XL,Set,SET098,XL,696.0,KR-PP,High
JNE3614-KR-M,kurta,JNE3614,M,459.0,KR,Medium
J0003-SET-XXXL,Set,J0003,3XL,654.0,SET,High
JNE3405-KR-XL,kurta,JNE3405,XL,399.0,KR,low
SET201-KR-NP-A-XXL,Set,SET201,XXL,595.0,KR-NP-A,Medium
SET324-KR-NP-L,Set,SET324,L,597.0,KR-NP,Medium
NW030-TP-PJ-XXL,Set,NW030,XXL,582.0,TP-PJ,Medium
SET273-KR-NP-XXXL,Set,SET273,3XL,612.0,KR-NP,High
J0003-SET-M,Set,J0003,M,654.0,SET,High
J0247-SKD-S,Set,J0247,S,820.0,SKD,Premium
SET347-KR-NP-XXXL,Set,SET347,3XL,801.0,KR-NP,Premium
JNE3405-KR-XL,kurta,JNE3405,XL,399.0,KR,low
J0342-TP-L,Top,J0342,L,540.0,TP,Medium
SET363-KR-NP-L,Set,SET363,L,1338.0,KR-NP,Luxury
J0342-TP-M,Top,J0342,M,540.0,TP,Medium
J0198-TP-XXXL,Top,J0198,3XL,625.0,TP,High
JNE3510-KR-XL,kurta,JNE3510,XL,429.0,KR,low
SET360-KR-NP-XXL,Set,SET360,XXL,1126.0,KR-NP,Premium
